Location,Routing,Routing - Copy,Location - Copy,
"Luxor, Egypt",LXR,LXR,"Luxor, Egypt",
"Luzhou, China",LZO,LZO,"Luzhou, China",
"Lvov, Ukraine",LWO,LWO,"Lvov, Ukraine",
"Lyoksele, Sweden",LYC,LYC,"Lyoksele, Sweden",
"Lyon, France - Lyon Part-Dieu Rail service",XYD,XYD,"Lyon, France - Lyon Part-Dieu Rail service",
"Lyon, France - Satolas",LYS,LYS,"Lyon, France - Satolas",
"Maastricht, Netherlands",MST,MST,"Maastricht, Netherlands",
"Mabuiag Island, QL, Australia",UBB,UBB,"Mabuiag Island, QL, Australia",
"Macapa, AP, Brazil",MCP,MCP,"Macapa, AP, Brazil",
"Macas, Ecuador",XMS,XMS,"Macas, Ecuador",
"Macau, China",MFM,MFM,"Macau, China",
"Maceio, AL, Brazil",MCZ,MCZ,"Maceio, AL, Brazil",
"Machala, Ecuador",MCH,MCH,"Machala, Ecuador",
"Mackay, QL, Australia",MKY,MKY,"Mackay, QL, Australia",
"Macon, GA",MCN,MCN,"Macon, GA",
"Madang, Papua New Guinea",MAG,MAG,"Madang, Papua New Guinea",
"Madinah, Saudi Arabia",MED,MED,"Madinah, Saudi Arabia",
"Madison, WI",MSN,MSN,"Madison, WI",
"Madras, OR",MDJ,MDJ,"Madras, OR",
"Madrid, Spain",MAD,MAD,"Madrid, Spain",
"Madurai, India",IXM,IXM,"Madurai, India",
"Mae Hong Son, Thailand",HGN,HGN,"Mae Hong Son, Thailand",
"Mae Sot, Thailand",MAQ,MAQ,"Mae Sot, Thailand",
"Maewo, Vanuatu",MWF,MWF,"Maewo, Vanuatu",
"Mafia, Tanzania",MFA,MFA,"Mafia, Tanzania",
"Magadan, Russia",GDX,GDX,"Magadan, Russia",
"Magnitogorsk, Russia",MQF,MQF,"Magnitogorsk, Russia",
"Mahanoro, Madagascar",VVB,VVB,"Mahanoro, Madagascar",
"Mahe Island, Seychelles",SEZ,SEZ,"Mahe Island, Seychelles",
"Maintirano, Madagascar",MXT,MXT,"Maintirano, Madagascar",
"Maio, Cape Verde",MMO,MMO,"Maio, Cape Verde",
"Majkin, Marshall Islands",MJE,MJE,"Majkin, Marshall Islands",
"Majunga, Madagascar",MJN,MJN,"Majunga, Madagascar",
"Majuro, Marshall Islands",MAJ,MAJ,"Majuro, Marshall Islands",
"Makale, Ethiopia",MQX,MQX,"Makale, Ethiopia",
"Makhachkala, Russia",MCX,MCX,"Makhachkala, Russia",
"Makokou, Gabon",MKU,MKU,"Makokou, Gabon",
"Makung, Taiwan",MZG,MZG,"Makung, Taiwan",
"Malabo, Equatorial Guinea",SSG,SSG,"Malabo, Equatorial Guinea",
"Malacca, Malaysia",MKZ,MKZ,"Malacca, Malaysia",
"Malaga, Spain",AGP,AGP,"Malaga, Spain",
"Malakai, Sudan",MAK,MAK,"Malakai, Sudan",
"Malargue, MD, Argentina",LGS,LGS,"Malargue, MD, Argentina",
"Malatya, Turkey",MLX,MLX,"Malatya, Turkey",
"Male, Maldives",MLE,MLE,"Male, Maldives",
"Malindi, Kenya",MYD,MYD,"Malindi, Kenya",
"Malmo, Sweden",MMX,MMX,"Malmo, Sweden",
"Maloelap Island, Marshall Islands",MAV,MAV,"Maloelap Island, Marshall Islands",
"Malololailai, Fiji",PTF,PTF,"Malololailai, Fiji",
"Malta, Malta",MLA,MLA,"Malta, Malta",
"Mampikony, Madagascar",WMP,WMP,"Mampikony, Madagascar",
"Mana Island, Fiji",MNF,MNF,"Mana Island, Fiji",
"Manado, Indonesia",MDC,MDC,"Manado, Indonesia",
"Managua, Nicaragua",MGA,MGA,"Managua, Nicaragua",
"Manakara, Madagascar",WVK,WVK,"Manakara, Madagascar",
"Mananara, Madagascar",WMR,WMR,"Mananara, Madagascar",
"Manang, Nepal",NGX,NGX,"Manang, Nepal",
"Mananjary, Madagascar",MNJ,MNJ,"Mananjary, Madagascar",
"Manaus, AM, Brazil",MAO,MAO,"Manaus, AM, Brazil",
"Manchester, NH",MHT,MHT,"Manchester, NH",
"Manchester, United Kingdom",MAN,MAN,"Manchester, United Kingdom",
"Mandalay, Myanmar",MDL,MDL,"Mandalay, Myanmar",
"Mandritsara, Madagascar",WMA,WMA,"Mandritsara, Madagascar",
"Mangaia Island, Cook Islands",MGS,MGS,"Mangaia Island, Cook Islands",
"Mangalore, India",IXE,IXE,"Mangalore, India",
"Mangrove Cay, Bahamas",MAY,MAY,"Mangrove Cay, Bahamas",
"Mangu, Zambia",MNR,MNR,"Mangu, Zambia",
"Manguna, Papua New Guinea",MFO,MFO,"Manguna, Papua New Guinea",
"Manhattan, KS",MHK,MHK,"Manhattan, KS",
"Manihi, French Polynesia",XMH,XMH,"Manihi, French Polynesia",
"Manihiki Island, Cook Islands",MHX,MHX,"Manihiki Island, Cook Islands",
"Manila, Philippines",MNL,MNL,"Manila, Philippines",
"Maningrioa, NT, Australia",MNG,MNG,"Maningrioa, NT, Australia",
"Manistee, MI",MBL,MBL,"Manistee, MI",
"Manizales, Colombia",MZL,MZL,"Manizales, Colombia",
"Manja, Madagascar",MJA,MJA,"Manja, Madagascar",
"Mankato, MN",MKT,MKT,"Mankato, MN",
"Manley Hot Springs, AK",MLY,MLY,"Manley Hot Springs, AK",
"Mannheim, Germany",MHG,MHG,"Mannheim, Germany",
"Manokotak, AK",KMO,KMO,"Manokotak, AK",
"Manokwari, Indonesia",MKW,MKW,"Manokwari, Indonesia",
"Manston, United Kingdom",MSE,MSE,"Manston, United Kingdom",
"Manta, Ecuador",MEC,MEC,"Manta, Ecuador",
"Manus Island, Papua New Guinea",MAS,MAS,"Manus Island, Papua New Guinea",
"Manzanillo, Cuba",MZO,MZO,"Manzanillo, Cuba",
"Manzanillo, Mexico",ZLO,ZLO,"Manzanillo, Mexico",
"Manzini, Swaziland",MTS,MTS,"Manzini, Swaziland",
"Mao, Chad",AMO,AMO,"Mao, Chad",
"Maota Savaii Is, Western Samoa",MXS,MXS,"Maota Savaii Is, Western Samoa",
"Maputo, Mozambique",MPM,MPM,"Maputo, Mozambique",
"Mar Del Plata, BA, Argentina",MDQ,MDQ,"Mar Del Plata, BA, Argentina",
"Mara Lodges, Kenya",MRE,MRE,"Mara Lodges, Kenya",
"Maraba, PA, Brazil",MAB,MAB,"Maraba, PA, Brazil",
"Maracaibo, Venezuela",MAR,MAR,"Maracaibo, Venezuela",
"Maracay, Venezuela",MYC,MYC,"Maracay, Venezuela",
"Mare, New Caledonia",MEE,MEE,"Mare, New Caledonia",
"Margate, South Africa",MGH,MGH,"Margate, South Africa",
"Maribor, Slovenia",MBX,MBX,"Maribor, Slovenia",
"Mariehamn, Finland",MHQ,MHQ,"Mariehamn, Finland",
"Marietta, OH/Parkersburg, WV",PKB,PKB,"Marietta, OH/Parkersburg, WV",
"Mariitsoq, Greenland",JSU,JSU,"Mariitsoq, Greenland",
"Marilia, SP, Brazil",MII,MII,"Marilia, SP, Brazil",
"Maringa, PR, Brazil",MGF,MGF,"Maringa, PR, Brazil",
"Marion, IL",MWA,MWA,"Marion, IL",
"Mariupol, Ukraine",MPW,MPW,"Mariupol, Ukraine",
"Maroantsetra, Madagascar",WMN,WMN,"Maroantsetra, Madagascar",
"Marova, Cameroon",MVR,MVR,"Marova, Cameroon",
"Marquette, MI",MQT,MQT,"Marquette, MI",
"Marseille, France",MRS,MRS,"Marseille, France",
"Marsh Harbour, Bahamas",MHH,MHH,"Marsh Harbour, Bahamas",
"Marshall, AK",MLL,MLL,"Marshall, AK",
"Martha's Vineyard, MA",MVY,MVY,"Martha's Vineyard, MA",
"Martinsburg, PA",AOO,AOO,"Martinsburg, PA",
"Marudi, Malaysia",MUR,MUR,"Marudi, Malaysia",
"Maryborough, QL, Australia",MBH,MBH,"Maryborough, QL, Australia",
"Mary's Harbour, NL",YMH,YMH,"Mary's Harbour, NL",
"Masbate, Philippines",MBT,MBT,"Masbate, Philippines",
"Maseru, Lesotho",MSU,MSU,"Maseru, Lesotho",
"Mashad, Iran",MHD,MHD,"Mashad, Iran",
"Mason City, IA",MCW,MCW,"Mason City, IA",
"Massena, NY",MSS,MSS,"Massena, NY",
"Matamoros, Mexico",MAM,MAM,"Matamoros, Mexico",
"Mataram, Indonesia",AMI,AMI,"Mataram, Indonesia",
"Matsumoto, Japan",MMJ,MMJ,"Matsumoto, Japan",
"Matsuyama, Japan",MYJ,MYJ,"Matsuyama, Japan",
"Maturin, Venezuela",MUN,MUN,"Maturin, Venezuela",
"Maui, HI",OGG,OGG,"Maui, HI",
"Mauke Island, Cook Islands",MUK,MUK,"Mauke Island, Cook Islands",
"Maulmyine, Myanmar",MNU,MNU,"Maulmyine, Myanmar",
"Maumere, Indonesia",MOF,MOF,"Maumere, Indonesia",
"Maun, Botswana",MUB,MUB,"Maun, Botswana",
"Maupiti, French Polynesia",MAU,MAU,"Maupiti, French Polynesia",
"Mauritius, Mauritius",MRU,MRU,"Mauritius, Mauritius",
"Maxville, ON - Rail service",XID,XID,"Maxville, ON - Rail service",
"Mayaguana, Bahamas",MYG,MYG,"Mayaguana, Bahamas",
"Mayaguez, Puerto Rico",MAZ,MAZ,"Mayaguez, Puerto Rico",
"Mazatlan, Mexico",MZT,MZT,"Mazatlan, Mexico",
"Mbandaka, Congo",MDK,MDK,"Mbandaka, Congo",
"Mbuji Mayi, Congo",MJM,MJM,"Mbuji Mayi, Congo",
"Mcallen, TX",MFE,MFE,"Mcallen, TX",
"Mcarthur River, NT, Australia",MCV,MCV,"Mcarthur River, NT, Australia",
"Mccook, NE",MCK,MCK,"Mccook, NE",
"Mcgrath, AK",MCG,MCG,"Mcgrath, AK",
"Medan, Indonesia",MES,MES,"Medan, Indonesia",
"Medellin, Colombia - Enrique Olaya Herrera",EOH,EOH,"Medellin, Colombia - Enrique Olaya Herrera",
"Medellin, Colombia - Jose Marie Cordova",MDE,MDE,"Medellin, Colombia - Jose Marie Cordova",
"Medford, OR",MFR,MFR,"Medford, OR",
"Medicine Hat, AB",YXH,YXH,"Medicine Hat, AB",
"Meekatharra, WA, Australia",MKR,MKR,"Meekatharra, WA, Australia",
"Mehamn, Norway",MEH,MEH,"Mehamn, Norway",
"Meixian, China",MXZ,MXZ,"Meixian, China",
"Mejit Island, Marshall Islands",MJB,MJB,"Mejit Island, Marshall Islands",
"Mekane Selam, Ethiopia",MKS,MKS,"Mekane Selam, Ethiopia",
"Mekoryuk, AK",MYU,MYU,"Mekoryuk, AK",
"Melbourne, FL",MLB,MLB,"Melbourne, FL",
"Melbourne, Victoria, Australia",MEL,MEL,"Melbourne, Victoria, Australia",
"Melilla, Spain",MLN,MLN,"Melilla, Spain",
"Melville, SK - Rail service",XEK,XEK,"Melville, SK - Rail service",
"Memanbetsu, Japan",MMB,MMB,"Memanbetsu, Japan",
"Memphis, TN",MEM,MEM,"Memphis, TN",
"Mendi, Ethiopia",NDM,NDM,"Mendi, Ethiopia",
"Mendi, Papua New Guinea",MDU,MDU,"Mendi, Papua New Guinea",
"Mendoza, MD, Argentina",MDZ,MDZ,"Mendoza, MD, Argentina",
"Menorca, Spain",MAH,MAH,"Menorca, Spain",
"Menyamya, Papua New Guinea",MYX,MYX,"Menyamya, Papua New Guinea",
"Merauke, Indonesia",MKQ,MKQ,"Merauke, Indonesia",
"Merave, Sudan",MWE,MWE,"Merave, Sudan",
"Merced, CA",MCE,MCE,"Merced, CA",
"Merdey, Indonesia",RDE,RDE,"Merdey, Indonesia",
"Merida, Mexico",MID,MID,"Merida, Mexico",
"Merida, Venezuela",MRD,MRD,"Merida, Venezuela",
"Meridian, MS",MEI,MEI,"Meridian, MS",
"Merimbula, NS, Australia",MIM,MIM,"Merimbula, NS, Australia",
"Mersa Matruh, Egypt",MUH,MUH,"Mersa Matruh, Egypt",
"Metlakatla, AK",MTM,MTM,"Metlakatla, AK",
"Metz/Nancy, France",ETZ,ETZ,"Metz/Nancy, France",
"Mexicali, Mexico",MXL,MXL,"Mexicali, Mexico",
"Mexico City, Mexico",MEX,MEX,"Mexico City, Mexico",
"Meyers Chuck, AK",WMK,WMK,"Meyers Chuck, AK",
"Mfume, Zambia",MFU,MFU,"Mfume, Zambia",
"Miami, FL - International",MIA,MIA,"Miami, FL - International",
"Miami, FL - Sea Plane Base",MPB,MPB,"Miami, FL - Sea Plane Base",
"Miandrivazo, Madagascar",ZVA,ZVA,"Miandrivazo, Madagascar",
"Middle Caicos, Turks and Caicos",MDS,MDS,"Middle Caicos, Turks and Caicos",
"Midland, MI",MBS,MBS,"Midland, MI",
"Midland/Odessa, TX",MAF,MAF,"Midland/Odessa, TX",
"Midway Island, US Minor Outlying Islands",MDY,MDY,"Midway Island, US Minor Outlying Islands",
"Mikkeli, Finland",MIK,MIK,"Mikkeli, Finland",
"Mikonos, Greece",JMK,JMK,"Mikonos, Greece",
"Milan, Italy - Linate",LIN,LIN,"Milan, Italy - Linate",
"Milan, Italy - Malpensa",MXP,MXP,"Milan, Italy - Malpensa",
"Milan, Italy - Orio Al Serio",BGY,BGY,"Milan, Italy - Orio Al Serio",
"Milan, Italy - Parma",PMF,PMF,"Milan, Italy - Parma",
"Mildura, VI, Australia",MQL,MQL,"Mildura, VI, Australia",
"Miles City, MT",MLS,MLS,"Miles City, MT",
"Mili Island, Marshall Islands",MIJ,MIJ,"Mili Island, Marshall Islands",
"Milingimbi, NT, Australia",MGT,MGT,"Milingimbi, NT, Australia",
"Milwaukee, WI",MKE,MKE,"Milwaukee, WI",
"Minami Daito, Japan",MMD,MMD,"Minami Daito, Japan",
"Minatitla, Mexico",MTT,MTT,"Minatitla, Mexico",
"Mindiptana, Indonesia",MDP,MDP,"Mindiptana, Indonesia",
"Mineralnye Vody, Russia",MRV,MRV,"Mineralnye Vody, Russia",
"Minneapolis, MN",MSP,MSP,"Minneapolis, MN",
"Minot, ND",MOT,MOT,"Minot, ND",
"Minsk, Belarus - Minsk International 1",MHP,MHP,"Minsk, Belarus - Minsk International 1",
"Minsk, Belarus - Minsk International 2",MSQ,MSQ,"Minsk, Belarus - Minsk International 2",
"Minto, AK",MNT,MNT,"Minto, AK",
"Miramichi, NB - Rail service",XEY,XEY,"Miramichi, NB - Rail service",
"Miri, Malaysia",MYY,MYY,"Miri, Malaysia",
"Mirnyj, Russia",MJZ,MJZ,"Mirnyj, Russia",
"Misawa, Japan",MSJ,MSJ,"Misawa, Japan",
"Misima Island, Papua New Guinea",MIS,MIS,"Misima Island, Papua New Guinea",
"Mission, TX",MFE,MFE,"Mission, TX",
"Missoula, MT",MSO,MSO,"Missoula, MT",
"Misurata, Libya",MRA,MRA,"Misurata, Libya",
"Mitiaro Island, Cook Islands",MOI,MOI,"Mitiaro Island, Cook Islands",
"MiyakeJima, Japan",MYE,MYE,"MiyakeJima, Japan",
"Miyako Jima, Japan",MMY,MMY,"Miyako Jima, Japan",
"Mizan Teferi, Ethiopia",MTF,MTF,"Mizan Teferi, Ethiopia",
"Mo I Rana, Norway",MQN,MQN,"Mo I Rana, Norway",
"Moa, Cuba",MOA,MOA,"Moa, Cuba",
"Moab, UT",CNY,CNY,"Moab, UT",
"Moala, Fiji",MFJ,MFJ,"Moala, Fiji",
"Moanamani, Indonesia",ONI,ONI,"Moanamani, Indonesia",
"Moanda, Congo",MNB,MNB,"Moanda, Congo",
"Moanda, Gabon",MFF,MFF,"Moanda, Gabon",
"Mobile, AL",MOB,MOB,"Mobile, AL",
"Modesto, CA",MOD,MOD,"Modesto, CA",
"Mogadishu, Somalia",MGQ,MGQ,"Mogadishu, Somalia",
"Mohenjodaro, Denmark",MJD,MJD,"Mohenjodaro, Denmark",
"Mokpo, South Korea",MPK,MPK,"Mokpo, South Korea",
"Mokuti Lodge, Namibia",OKU,OKU,"Mokuti Lodge, Namibia",
"Molde, Norway",MOL,MOL,"Molde, Norway",
"Moline, IL",MLI,MLI,"Moline, IL",
"Mombasa, Kenya",MBA,MBA,"Mombasa, Kenya",
"Monastir, Tunisia",MIR,MIR,"Monastir, Tunisia",
"Monbetsu, Japan",MBE,MBE,"Monbetsu, Japan",
"Monclova, Mexico",LOV,LOV,"Monclova, Mexico",
"Moncton, NB - Airport",YQM,YQM,"Moncton, NB - Airport",
"Moncton, NB - Rail service",XDP,XDP,"Moncton, NB - Rail service",
"Monkey Mia, WA, Australia",MJK,MJK,"Monkey Mia, WA, Australia",
"Mono, Solomon Islands",MNY,MNY,"Mono, Solomon Islands",
"Monroe, LA",MLU,MLU,"Monroe, LA",
"Monrovia, Liberia",ROB,ROB,"Monrovia, Liberia",
"Mont Joli, QC",YYY,YYY,"Mont Joli, QC",
"Monte Carlo, Monaco",MCM,MCM,"Monte Carlo, Monaco",
"Monte Dourado, PA, Brazil",MEU,MEU,"Monte Dourado, PA, Brazil",
"Montego Bay, Jamaica",MBJ,MBJ,"Montego Bay, Jamaica",
"Monterey, CA",MRY,MRY,"Monterey, CA",
"Monteria, Colombia",MTR,MTR,"Monteria, Colombia",
"Monterrey, Mexico",MTY,MTY,"Monterrey, Mexico",
"Montes Claros, MG, Brazil",MOC,MOC,"Montes Claros, MG, Brazil",
"Montevideo, Uruguay",MVD,MVD,"Montevideo, Uruguay",
"Montgomery, AL",MGM,MGM,"Montgomery, AL",
"Montpellier, France",MPL,MPL,"Montpellier, France",
"Montreal, QC - all airports",YMQ,YMQ,"Montreal, QC - all airports",
"Montreal, QC - Dorval",YUL,YUL,"Montreal, QC - Dorval",
"Montreal, QC - Dorval Rail service",XAX,XAX,"Montreal, QC - Dorval Rail service",
"Montreal, QC - Downtown Rail service",YMY,YMY,"Montreal, QC - Downtown Rail service",
"Montreal, QC - Mirabel",YMX,YMX,"Montreal, QC - Mirabel",
"Montreal, QC - St Lambert Rail service",XLM,XLM,"Montreal, QC - St Lambert Rail service",
"Montrose, CO",MTJ,MTJ,"Montrose, CO",
"Montserrat, Montserrat",MNI,MNI,"Montserrat, Montserrat",
"Moorea, French Polynesia",MOZ,MOZ,"Moorea, French Polynesia",
"Moosonee, ON",YMO,YMO,"Moosonee, ON",
"Mopti, Mali",MZI,MZI,"Mopti, Mali",
"Mora, Sweden",MXX,MXX,"Mora, Sweden",
"Morafenobe, Madagascar",TVA,TVA,"Morafenobe, Madagascar",
"Morambe, Madagascar",MXM,MXM,"Morambe, Madagascar",
"Moranbah, QL, Australia",MOV,MOV,"Moranbah, QL, Australia",
"Moree, NS, Australia",MRZ,MRZ,"Moree, NS, Australia",
"Morelia, Mexico",MLM,MLM,"Morelia, Mexico",
"Morgantown, WV",MGW,MGW,"Morgantown, WV",
"Morioka, Japan",HNA,HNA,"Morioka, Japan",
"Mornington, QL, Australia",ONG,ONG,"Mornington, QL, Australia",
"Moro, Papua New Guinea",MXH,MXH,"Moro, Papua New Guinea",
"Morondava, Madagascar",MOQ,MOQ,"Morondava, Madagascar",
"Moroni, Comoros",HAH,HAH,"Moroni, Comoros",
"Moruya, NS, Australia",MYA,MYA,"Moruya, NS, Australia",
"Moscow, Russia - all locations",MOW,MOW,"Moscow, Russia - all locations",
"Moscow, Russia - Bykovo",BKA,BKA,"Moscow, Russia - Bykovo",
"Moscow, Russia - Domodedovo",DME,DME,"Moscow, Russia - Domodedovo",
"Moscow, Russia - Sheremetyevo",SVO,SVO,"Moscow, Russia - Sheremetyevo",
"Moscow, Russia - Vnukovo",VKO,VKO,"Moscow, Russia - Vnukovo",
"Moses Lake, WA",MWH,MWH,"Moses Lake, WA",
"Mosjoen, Norway",MJF,MJF,"Mosjoen, Norway",
"Mostar, Bosnia and Herzegovina",OMO,OMO,"Mostar, Bosnia and Herzegovina",
"Mota Lava, Vanuatu",MTV,MTV,"Mota Lava, Vanuatu",
"Mouila, Gabon",MJL,MJL,"Mouila, Gabon",
"Mount Cook, New Zealand",MON,MON,"Mount Cook, New Zealand",
"Mount Gambier, SA, Australia",MGB,MGB,"Mount Gambier, SA, Australia",
"Mount Hagen, Papua New Guinea",HGU,HGU,"Mount Hagen, Papua New Guinea",
"Mount Hotham, VI, Australia",MHU,MHU,"Mount Hotham, VI, Australia",
"Mount Isa, Australia",ISA,ISA,"Mount Isa, Australia",
"Mount Keith, WA, Australia",WME,WME,"Mount Keith, WA, Australia",
"Mount Magnet, WA, Australia",MMG,MMG,"Mount Magnet, WA, Australia",
"Mount Pleasant, Falkland Islands",MPN,MPN,"Mount Pleasant, Falkland Islands",
"Mountain Home, AR",WMH,WMH,"Mountain Home, AR",
"Mountain Village, AK",MOU,MOU,"Mountain Village, AK",
"Mpacha, Namibia",MPA,MPA,"Mpacha, Namibia",
"Mtwara, Tanzania",MYW,MYW,"Mtwara, Tanzania",
"Mucuri, BA, Brazil",MVS,MVS,"Mucuri, BA, Brazil",
"Mudanjiang, China",MDG,MDG,"Mudanjiang, China",
"Mudgee, Australia",DGE,DGE,"Mudgee, Australia",
"Muenster, Germany",FMO,FMO,"Muenster, Germany",
"Mukan, Malaysia",MKM,MKM,"Mukan, Malaysia",
"Mulhouse, France",MLH,MLH,"Mulhouse, France",
"Mulia, Indonesia",LII,LII,"Mulia, Indonesia",
"Multan, Pakistan",MUX,MUX,"Multan, Pakistan",
"Mulu, Malaysia",MZV,MZV,"Mulu, Malaysia",
"Mumbai, India",BOM,BOM,"Mumbai, India",
"Munda, Solomon Islands",MUA,MUA,"Munda, Solomon Islands",
"Munich, Germany",MUC,MUC,"Munich, Germany",
"Murcia, Spain",MJV,MJV,"Murcia, Spain",
"Murmansk, Russia",MMK,MMK,"Murmansk, Russia",
"Murray Island, QL, Australia",MYI,MYI,"Murray Island, QL, Australia",
"Mus, Turkey",MSR,MSR,"Mus, Turkey",
"Muscat, Oman",MCT,MCT,"Muscat, Oman",
"Muscle Shoals, AL",MSL,MSL,"Muscle Shoals, AL",
"Muskegon, MI",MKG,MKG,"Muskegon, MI",
"Muskrat Dam, ON",MSA,MSA,"Muskrat Dam, ON",
"Musoma, Tanzania",MUZ,MUZ,"Musoma, Tanzania",
"Muzaffarabad, Pakistan",MFG,MFG,"Muzaffarabad, Pakistan",
"Mwanza, Tanzania",MWZ,MWZ,"Mwanza, Tanzania",
"Myeik, Myanmar",MGZ,MGZ,"Myeik, Myanmar",
"Myitkyina, Myanmar",MYT,MYT,"Myitkyina, Myanmar",
"Myrtle Beach, SC",MYR,MYR,"Myrtle Beach, SC",
"Mytilene, Greece",MJT,MJT,"Mytilene, Greece",
"Mzuzu, Malawi",ZZU,ZZU,"Mzuzu, Malawi",
"Nabire, Indonesia",NBX,NBX,"Nabire, Indonesia",
"Nacala, Mozambique",MNC,MNC,"Nacala, Mozambique",
"Nadar, Morocco",NDR,NDR,"Nadar, Morocco",
"Nadi, Fiji",NAN,NAN,"Nadi, Fiji",
"Nadym, Russia",NYM,NYM,"Nadym, Russia",
"Naga, Philippines",WNP,WNP,"Naga, Philippines",
"Nagasaki, Japan",NGS,NGS,"Nagasaki, Japan",
"Nagoya, Japan - Chubu CentrAir Intl",NGO,NGO,"Nagoya, Japan - Chubu CentrAir Intl",
"Nagoya, Japan - Nagoya Komaki APT",NGO,NGO,"Nagoya, Japan - Nagoya Komaki APT",
"Nagpur, India",NAG,NAG,"Nagpur, India",
"Nain, NL",YDP,YDP,"Nain, NL",
"Nairobi, Kenya - Jomo Kenyatta Intl",NBO,NBO,"Nairobi, Kenya - Jomo Kenyatta Intl",
"Nairobi, Kenya - Wilson",WIL,WIL,"Nairobi, Kenya - Wilson",
"Nakhichevan, Azerbaijan",NAJ,NAJ,"Nakhichevan, Azerbaijan",
"Nakhon Ratchosima, Thailand",NAK,NAK,"Nakhon Ratchosima, Thailand",
"Nakhon Si Thammarat, Thailand",NST,NST,"Nakhon Si Thammarat, Thailand",
"Nakina, ON",YQN,YQN,"Nakina, ON",
"Nalchik, Russia",NAL,NAL,"Nalchik, Russia",
"Namangan, Uzbekistan",NMA,NMA,"Namangan, Uzbekistan",
"Namatana, Papua New Guinea",ATN,ATN,"Namatana, Papua New Guinea",
"Namorik Island, Marshall Islands",NDK,NDK,"Namorik Island, Marshall Islands",
"Nampula, Mozambique",APL,APL,"Nampula, Mozambique",
"Namsos, Norway",OSY,OSY,"Namsos, Norway",
"Namudi, Papua New Guinea",NDI,NDI,"Namudi, Papua New Guinea",
"Nan, Thailand",NNT,NNT,"Nan, Thailand",
"Nanaimo, BC - Cassidy Airport",YCD,YCD,"Nanaimo, BC - Cassidy Airport",
"Nanaimo, BC - Harbour Airport",ZNA,ZNA,"Nanaimo, BC - Harbour Airport",
"Nanchong, China",NAO,NAO,"Nanchong, China",
"Nanisivik, NU",YSR,YSR,"Nanisivik, NU",
"Nanking/Nanjing, China",NKG,NKG,"Nanking/Nanjing, China",
"Nanning, China",NNG,NNG,"Nanning, China",
"Nanortalik, Greenland",JNN,JNN,"Nanortalik, Greenland",
"Nantes, France - Nantes Atlantique",NTE,NTE,"Nantes, France - Nantes Atlantique",
"Nantes, France - Rail service",QJZ,QJZ,"Nantes, France - Rail service",
"Nantong, China",NTG,NTG,"Nantong, China",
"Nantucket, MA",ACK,ACK,"Nantucket, MA",
"Nanyang, China",NNY,NNY,"Nanyang, China",
"Nanyuki, Kenya",NYK,NYK,"Nanyuki, Kenya",
"Napakiak, AK",WNA,WNA,"Napakiak, AK",
"Napanee, ON - Rail service",XIF,XIF,"Napanee, ON - Rail service",
"Napaskiak, AK",PKA,PKA,"Napaskiak, AK",
"Napier-Hastings, New Zealand",NPE,NPE,"Napier-Hastings, New Zealand",
"Naples, FL",APF,APF,"Naples, FL",
"Naples, Italy",NAP,NAP,"Naples, Italy",
"Narathiwat, Thailand",NAW,NAW,"Narathiwat, Thailand",
"Narrabri, NS, Australia",NAA,NAA,"Narrabri, NS, Australia",
"Narsaq, Greenland",JNS,JNS,"Narsaq, Greenland",
"Narsarsuaq, Greenland",UAK,UAK,"Narsarsuaq, Greenland",
"Narvik, Norway",NVK,NVK,"Narvik, Norway",
"Naryan-Mar, Russia",NNM,NNM,"Naryan-Mar, Russia",
"Nashville, TN",BNA,BNA,"Nashville, TN",
"Nassau, Bahamas - Paradise Island",NAS,NAS,"Nassau, Bahamas - Paradise Island",
"Natadi, Congo",MAT,MAT,"Natadi, Congo",
"Natal, RN, Brazil",NAT,NAT,"Natal, RN, Brazil",
"Natashquan, QC",YNA,YNA,"Natashquan, QC",
"Naukiti, AK",NKI,NKI,"Naukiti, AK",
"Nauru Island, Nauru",INU,INU,"Nauru Island, Nauru",
"Navegantes, SC, Brazil",NVT,NVT,"Navegantes, SC, Brazil",
"Nawabshah, Pakistan",WNS,WNS,"Nawabshah, Pakistan",
"NayUrengoy, Russia",NUX,NUX,"NayUrengoy, Russia",
"Ndjamena, Chad",NDJ,NDJ,"Ndjamena, Chad",
"Ndola, Zambia",NLA,NLA,"Ndola, Zambia",
"Neerlerit Inaat, Greenland",CNP,CNP,"Neerlerit Inaat, Greenland",
"Nefteyugansk, Russia",NFG,NFG,"Nefteyugansk, Russia",
"Neghelli, Ethiopia",EGL,EGL,"Neghelli, Ethiopia",
"Negril, Jamaica",NEG,NEG,"Negril, Jamaica",
"Neiva, Colombia",NVA,NVA,"Neiva, Colombia",
"Nejran, Saudi Arabia",EAM,EAM,"Nejran, Saudi Arabia",
"Nelso, New Zealand",NSN,NSN,"Nelso, New Zealand",
"Nelson Lagoon, AK",NLG,NLG,"Nelson Lagoon, AK",
"Nelspruit, South Africa",NLP,NLP,"Nelspruit, South Africa",
"Nema, Mauritania",EMN,EMN,"Nema, Mauritania",
"Nemiscau, QC",YNS,YNS,"Nemiscau, QC",
"Neryjungri, Russia",NER,NER,"Neryjungri, Russia",
"Neuquen, NE, Argentina",NQN,NQN,"Neuquen, NE, Argentina",
"Nevis, St. Kitts and Nevis",NEV,NEV,"Nevis, St. Kitts and Nevis",
